City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
181,Bonthe,7.5264,-12.505,clear sky,76.93,85,7,3.8
182,Carballo,43.213,-8.691,clear sky,41.86,76,0,3.67
183,Ribeira Grande,38.5167,-28.7,scattered clouds,58.33,61,44,6.96
184,Orneta,54.1148,20.1333,overcast clouds,30.69,85,100,8.23
185,Mount Isa,-20.7333,139.5,light intensity shower rain,76.77,100,75,5.75
186,Acajutla,13.5928,-89.8275,clear sky,78.8,74,0,8.43
187,Fuling,29.7022,107.3919,overcast clouds,41.58,96,100,1.48
188,Charcas,23.1333,-101.1167,overcast clouds,46.49,93,92,13.31
189,College,64.8569,-147.8028,broken clouds,3.52,62,75,6.91
190,Saint Simons,31.1352,-81.3901,scattered clouds,49.06,61,40,5.01
191,Zyryanka,65.75,150.85,light snow,-8.54,97,100,10.36
192,Catuday,16.2923,119.8062,overcast clouds,79.92,73,96,3.18
193,Padang,-0.9492,100.3543,overcast clouds,86.05,67,88,4.68
194,Pastavy,55.1168,26.8326,overcast clouds,25.92,89,100,14.07
195,Sechura,-5.5569,-80.8222,overcast clouds,72.81,74,100,9.84
196,San Miguel,13.4833,-88.1833,overcast clouds,77.16,65,90,1.79
197,Tarnogskiy Gorodok,60.4997,43.5761,overcast clouds,12.58,93,99,7.9
198,Sola,-13.8833,167.55,heavy intensity rain,77.67,94,100,0.0
199,Neuquen,-38.9516,-68.0591,clear sky,78.69,50,0,0.0
200,Prince Rupert,54.3161,-130.3201,overcast clouds,44.69,76,100,14.97
201,Pecan Grove,29.6261,-95.7316,clear sky,49.95,58,0,5.66
202,Tual,-5.6667,132.75,overcast clouds,84.45,71,97,13.78
203,Harnosand,62.6323,17.9379,overcast clouds,32.0,81,100,16.46
204,Oranzherei,45.8476,47.5663,few clouds,12.16,88,21,5.79
205,Beidao,34.5686,105.8933,overcast clouds,25.66,82,98,1.74
206,Springfield,37.2153,-93.2982,clear sky,25.43,49,0,0.0
207,Tateyama,34.9833,139.8667,overcast clouds,50.27,85,100,9.62
208,Marzuq,14.4,46.4667,few clouds,59.16,29,15,2.48
209,Saquarema,-22.92,-42.5103,light rain,74.98,93,100,6.64
210,Port Barton,10.4756,119.2472,overcast clouds,86.68,60,91,2.44
211,Kenai,60.5544,-151.2583,overcast clouds,23.09,93,100,8.05
212,Klaksvik,62.2266,-6.589,overcast clouds,40.12,96,100,18.41
213,Abu Samrah,35.3029,37.1841,overcast clouds,38.48,92,100,3.11
214,Gat,31.61,34.7642,overcast clouds,47.08,100,99,7.27
215,Berlevag,70.8578,29.0864,overcast clouds,29.73,61,100,12.8
216,Sovetskiy,61.3614,63.5842,overcast clouds,-12.96,100,86,3.49
217,Fairbanks,64.8378,-147.7164,scattered clouds,3.54,65,40,4.61
218,Foix,42.8333,1.5833,broken clouds,34.0,57,65,5.88
219,Ashtian,34.5217,50.0019,overcast clouds,23.81,54,100,1.7
220,Buala,-8.145,159.5921,moderate rain,83.37,76,100,4.54
221,Trincomalee,8.5711,81.2335,few clouds,80.82,79,15,11.56
222,Lima,-12.0432,-77.0282,clear sky,70.9,72,0,11.5
223,Vila Franca Do Campo,37.7167,-25.4333,scattered clouds,57.61,87,29,8.79
