City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Salinopolis,76.5,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
181,Bonthe,76.93,clear sky,7.5264,-12.505,Bonthe Holiday Village
185,Mount Isa,76.77,light intensity shower rain,-20.7333,139.5,ibis Styles Mt Isa Verona
186,Acajutla,78.8,clear sky,13.5928,-89.8275,Laureles
192,Catuday,79.92,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
195,Sechura,72.81,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
196,San Miguel,77.16,overcast clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
198,Sola,77.67,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
199,Neuquen,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
209,Saquarema,74.98,light rain,-22.92,-42.5103,Hotel Fazenda Sol e Lua
222,Lima,70.9,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
224,Kolondieba,72.95,scattered clouds,11.0882,-6.8926,Hotel Dakan
232,Guerrero Negro,65.1,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
234,Cartagena,78.42,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
237,Huatulco,75.87,clear sky,15.8436,-96.3267,Fonatur Operadora Portuaría
238,Garowe,63.63,broken clouds,8.4054,48.4845,Curubo Hotel
240,Chuy,63.88,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
247,Walvis Bay,62.1,overcast clouds,-22.9575,14.5053,Oyster Box Guesthouse
250,Marawi,74.64,scattered clouds,7.9986,124.2928,Derogongan Residence
252,Am Timan,65.26,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
254,Ponta Do Sol,61.43,broken clouds,32.6667,-17.1,Hotel do Campo
256,La Palma,66.96,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
257,Coihaique,66.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
260,Rio Verde De Mato Grosso,73.06,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
263,Acapulco,76.78,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
264,Canberra,72.75,light intensity shower rain,-35.2835,149.1281,Novotel Canberra
271,Chokwe,73.96,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
273,Owando,69.96,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
280,Saint-Pierre,79.18,clear sky,-21.3393,55.4781,Lindsey Hôtel
286,Marica,76.95,overcast clouds,-22.9194,-42.8186,Marica Hills
287,Tefe,72.28,overcast clouds,-3.3542,-64.7114,Aracati Hotel
288,Marsh Harbour,73.58,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
290,Santa Cruz,74.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
296,Dwarka,69.33,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
299,Namibe,70.86,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
304,Carora,72.34,scattered clouds,10.1755,-70.0827,Hotel Irpinia
307,Alofi,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
310,Axim,77.0,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
313,Nouadhibou,60.78,overcast clouds,20.931,-17.0347,El Medina
315,Trairi,71.8,overcast clouds,-3.2778,-39.2689,janelas do mar
323,Vila Velha,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
325,Bandarbeyla,72.77,light rain,9.4942,50.8122,JABIR HOTEL
331,Patea,73.67,clear sky,-39.7583,174.4833,Patea Rest N Fresh
332,Wanning,74.52,overcast clouds,18.8003,110.3967,Paradise Hotel
334,Sao Joao Da Barra,75.78,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
344,Kisangani,67.89,overcast clouds,0.5167,25.2,Grand Ramela Hotel
345,Coxim,74.26,overcast clouds,-18.5067,-54.76,Hotel Avenida
347,Taltal,65.73,clear sky,-25.4,-70.4833,Residencial Karime
348,Jardim,72.14,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
354,Rioja,73.6,few clouds,-29.4111,-66.8507,Hotel Libertador
360,Santiago Del Estero,69.19,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
366,Hokitika,66.6,scattered clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
367,Goma,62.87,overcast clouds,-1.6792,29.2228,Hotel la Versailles Goma
368,San Cristobal,69.98,clear sky,7.7669,-72.225,Posada Villaven C.A.
370,Uthal,65.57,clear sky,25.8072,66.6219,Al-Mustafa Hotel
371,Gurupi,71.24,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
374,Grootfontein,65.77,overcast clouds,-19.5667,18.1167,Meteor Travel Inn
378,Quelimane,73.31,clear sky,-17.8786,36.8883,Hotel Flamingo
379,Hobyo,78.1,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
387,Sao Raimundo Das Mangabeiras,70.77,overcast clouds,-7.0219,-45.4811,Hotel Tropical
388,Nicoya,72.84,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
389,Nova Olinda Do Norte,73.76,light rain,-3.8881,-59.0942,Casa Juazeiro
390,Nago,65.25,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
394,Puerto Leguizamo,74.32,overcast clouds,-0.1934,-74.7819,la casona de juancho
399,Bahia Honda,71.33,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
402,Natal,76.71,overcast clouds,-5.795,-35.2094,Villa Park Hotel | Natal
403,Rawson,67.28,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
409,Porto Novo,72.59,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
411,Luderitz,66.42,clear sky,-26.6481,15.1594,Lüderitz Nest Hotel
413,Sao Miguel,77.02,overcast clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
415,Jucas,69.17,overcast clouds,-6.5253,-39.5275,Pousada e pizzaria Frogomercambar
418,Yanam,77.4,broken clouds,16.7333,82.2167,The Regency Hotel
424,Acarau,74.43,overcast clouds,-2.8856,-40.12,castelo pizzaria
435,Antalaha,75.36,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
439,Honolulu,77.86,clear sky,21.3069,-157.8583,Aston at the Executive Centre Hotel
445,Davila,78.62,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
446,Tema,78.62,few clouds,5.667,-0.0166,Beulah Royale Hotel Tema
448,Carutapera,75.31,overcast clouds,-1.195,-46.02,Lidera
449,Weston,68.02,overcast clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
453,Ahuimanu,77.76,few clouds,21.4447,-157.8378,Paradise Bay Resort
454,Road Town,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
455,Mahanoro,72.88,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
457,Cidreira,69.39,few clouds,-30.1811,-50.2056,Hotel Castelo
459,Warragul,74.64,overcast clouds,-38.1667,145.9333,Comfort Inn & Suites Warragul
465,Tomatlan,66.31,few clouds,19.9333,-105.25,El Salvial
466,El Tarra,71.2,clear sky,8.5756,-73.0949,Casa juvenil Sor Amanda Bedoya
468,General Pico,64.47,clear sky,-35.6566,-63.7568,Euskadi Hotel
483,Rio Grande,67.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
486,Guasdualito,73.4,clear sky,7.2424,-70.7324,Hotel Cuibas
487,Pasni,67.24,clear sky,25.2631,63.471,Kashmiri Hotal
488,Lazaro Cardenas,74.89,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
491,Bosaso,72.54,broken clouds,11.2842,49.1816,Red Sea Hotel
495,Saint-Joseph,79.11,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
498,Colac,71.62,few clouds,-38.3333,143.5833,Otway Gate Motel
500,Barra,71.94,heavy intensity rain,-11.0894,-43.1417,Motel Albatroz
514,Cockburn Town,78.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
515,Harindanga,60.78,clear sky,22.0383,88.3214,Hazi Home
520,Sao Joao Evangelista,65.61,broken clouds,-18.5478,-42.7633,Hostel Amazonas
524,Esperance,79.5,clear sky,-33.8667,121.9,Hospitality Esperance
529,Te Anau,69.62,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
534,Batouri,66.24,overcast clouds,4.4333,14.3667,Hotel Hollywood
536,Menongue,61.74,light rain,-14.6585,17.691,Ritz Lauca
538,Brodowski,64.4,overcast clouds,-20.9845,-47.6572,Ecoestância São Marcos
549,Touros,72.5,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
556,Lakes Entrance,73.58,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
